-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  8.3427   Longitude 80.4106 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 84.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,1.09,2.32,0.24,1.87,1.52,1.1,3.23,1.14,2.77,2.02,10.97,4.66,2.73
PRECTOTCORR,2001,2.82,1.57,0.01,5.81,0.5,4.53,3.09,0.33,1.48,4.2,6.68,6.6,3.13
PRECTOTCORR,2002,1.73,2.49,1.09,3.73,1.57,1.06,0.12,0.81,0.76,8.38,6.72,8.2,3.06
PRECTOTCORR,2003,3.14,2.18,1.93,2.07,3.05,0.59,0.83,1.15,1.49,2.75,10.06,1.67,2.57
PRECTOTCORR,2004,0.8,0.86,1.44,2.67,3.92,0.6,1.05,1.09,3.38,7.8,7.46,8.88,3.34
PRECTOTCORR,2005,4.24,0.34,1.49,5.06,1.2,0.33,0.79,1.2,0.39,5.96,11.58,3.18,2.99
PRECTOTCORR,2006,4.23,1.08,3.87,2.62,1.79,0.21,0.46,1.85,2.37,9.65,9.2,3.71,3.44
PRECTOTCORR,2007,1.92,1.63,0.29,4.65,0.46,1.37,0.75,1.02,2.39,10.16,5.0,7.4,3.1
PRECTOTCORR,2008,1.31,3.66,8.36,4.35,0.06,0.83,0.97,1.21,0.25,5.09,8.01,5.84,3.33
PRECTOTCORR,2009,1.93,0.0,4.32,4.86,0.46,0.27,0.42,3.25,0.68,3.64,11.82,9.36,3.43
PRECTOTCORR,2010,2.11,0.39,1.01,4.79,2.44,0.56,1.36,3.31,7.09,3.96,12.44,13.84,4.46
PRECTOTCORR,2011,12.08,11.01,1.18,8.52,0.69,0.21,0.77,2.95,0.79,10.23,12.71,5.92,5.54
PRECTOTCORR,2012,1.03,1.77,1.58,3.86,0.07,0.24,1.08,0.28,1.97,16.85,7.16,18.06,4.52
PRECTOTCORR,2013,6.14,6.87,6.35,2.18,3.35,0.56,1.0,2.47,1.91,3.24,6.55,3.8,3.69
PRECTOTCORR,2014,5.37,1.13,0.22,4.49,4.85,0.13,0.3,2.33,4.76,8.46,12.74,18.45,5.3
PRECTOTCORR,2015,0.37,5.24,2.22,6.55,6.21,0.57,0.13,2.35,5.78,10.69,16.23,8.97,5.42
PRECTOTCORR,2016,2.77,0.99,0.9,1.67,14.23,0.51,0.79,0.24,0.05,2.93,7.81,2.44,2.96
PRECTOTCORR,2017,3.36,1.53,4.87,1.87,4.29,0.43,0.54,2.93,1.97,4.16,7.47,3.14,3.06
PRECTOTCORR,2018,0.91,1.91,1.96,3.44,8.81,0.67,0.38,0.91,1.67,9.07,7.61,3.81,3.44
PRECTOTCORR,2019,0.28,3.31,0.15,2.57,0.26,0.32,0.29,3.0,4.42,13.06,7.91,12.58,4.02
PRECTOTCORR,2020,0.97,0.64,0.39,2.82,5.12,1.98,3.46,0.78,5.78,1.94,10.93,11.76,3.88
PRECTOTCORR,2021,7.95,1.25,1.31,3.85,3.74,1.5,3.08,1.33,3.78,10.6,17.29,3.92,4.98
PRECTOTCORR,2022,3.37,4.34,1.55,9.65,1.43,1.35,3.54,2.82,1.56,7.15,7.64,9.32,4.47
PRECTOTCORR,2023,3.82,6.42,2.63,3.33,5.26,0.63,0.17,0.69,2.42,10.54,16.94,15.01,5.65
PRECTOTCORR,2024,5.75,0.41,0.74,1.34,6.2,0.82,0.24,3.82,0.81,6.17,14.71,4.48,3.8
PRECTOTCORR,2025,7.26,2.59,2.86,6.13,3.83,0.63,0.22,1.22,2.19,7.67,21.87,5.21,5.13
RH2M,2000,79.19,74.46,65.82,67.46,66.58,72.8,68.59,75.75,75.16,75.94,79.4,85.36,73.87
RH2M,2001,86.95,81.17,65.44,76.16,77.74,81.28,76.25,75.79,72.98,78.55,84.95,86.48,78.62
RH2M,2002,84.6,79.63,69.88,73.92,77.27,74.42,67.37,70.07,62.38,82.6,88.75,88.62,76.62
RH2M,2003,86.48,84.53,77.69,69.48,77.07,75.08,73.56,73.67,69.19,75.72,85.31,84.16,77.64
RH2M,2004,76.03,68.43,66.57,68.24,77.8,73.14,72.02,69.3,75.08,82.59,89.05,86.85,75.45
RH2M,2005,86.89,83.19,77.2,82.52,76.94,74.23,73.59,68.88,69.51,79.68,89.88,87.86,79.17
RH2M,2006,88.02,83.56,80.38,73.14,77.07,71.99,70.18,70.53,76.21,81.33,89.7,84.97,78.9
RH2M,2007,83.82,76.18,66.38,76.13,73.95,74.21,73.07,71.92,74.84,82.31,85.68,87.29,77.15
RH2M,2008,85.32,83.21,86.29,85.88,85.15,77.56,74.56,72.82,67.24,76.65,81.48,86.28,80.21
RH2M,2009,82.21,70.52,74.13,79.1,77.19,73.39,69.56,74.18,73.33,69.5,87.56,89.42,76.71
RH2M,2010,86.25,82.42,70.18,73.99,81.88,74.27,72.37,75.57,78.75,85.79,88.81,91.71,80.16
RH2M,2011,90.85,88.49,84.4,84.59,85.77,77.83,73.86,75.25,71.04,80.24,87.17,88.69,82.32
RH2M,2012,84.6,84.09,72.42,77.27,71.45,69.62,69.68,67.0,68.88,83.27,88.22,90.27,77.21
RH2M,2013,87.97,87.06,85.94,83.93,86.66,79.62,75.87,74.29,75.34,74.95,84.93,84.76,81.74
RH2M,2014,83.94,71.36,65.34,69.2,85.25,76.41,72.47,72.99,73.69,85.28,89.07,92.56,78.2
RH2M,2015,86.77,85.79,83.28,84.48,87.69,85.53,77.04,74.38,80.18,86.15,91.08,90.44,84.38
RH2M,2016,86.84,84.69,73.73,70.63,81.11,83.35,76.49,71.82,65.44,66.06,85.28,83.07,77.35
RH2M,2017,76.72,71.91,78.96,71.06,75.88,73.68,69.4,73.88,76.26,77.56,87.91,85.0,76.55
RH2M,2018,78.46,71.71,71.51,73.76,86.48,83.54,75.41,72.14,67.86,85.08,88.01,88.21,78.57
RH2M,2019,81.94,79.17,64.72,62.85,67.64,67.93,65.45,72.76,77.31,86.56,87.42,89.85,75.28
