-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  7.7912   Longitude 81.4935 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 51.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,1.26,3.23,0.59,2.11,1.4,1.23,3.7,1.38,3.01,2.0,11.27,4.85,2.99
PRECTOTCORR,2001,5.18,2.83,0.01,4.13,0.94,3.83,3.88,0.41,2.23,3.75,6.68,7.64,3.46
PRECTOTCORR,2002,2.98,4.0,1.01,2.81,2.39,1.64,0.29,1.49,0.93,6.31,7.34,12.55,3.65
PRECTOTCORR,2003,5.15,3.2,2.63,1.44,2.73,0.66,0.91,0.68,1.85,2.53,13.88,1.89,3.11
PRECTOTCORR,2004,2.44,2.24,1.79,2.07,3.7,0.97,1.36,0.81,6.14,9.0,9.21,15.49,4.61
PRECTOTCORR,2005,5.61,0.7,1.66,4.6,1.44,0.59,1.04,0.91,1.73,5.34,12.35,4.01,3.34
PRECTOTCORR,2006,6.56,2.53,2.58,1.48,2.04,0.53,0.98,2.11,1.74,8.55,10.3,7.16,3.9
PRECTOTCORR,2007,3.79,3.18,0.49,7.04,0.62,1.8,2.12,1.35,2.01,6.52,4.74,9.62,3.61
PRECTOTCORR,2008,4.25,4.39,10.3,3.97,0.12,2.26,1.02,1.16,0.64,4.47,8.51,5.72,3.9
PRECTOTCORR,2009,3.62,0.01,5.27,7.28,0.73,0.31,0.39,2.19,0.95,4.19,14.88,10.28,4.19
PRECTOTCORR,2010,2.82,1.67,1.33,5.08,3.19,1.64,2.38,4.27,6.14,4.83,15.39,19.07,5.67
PRECTOTCORR,2011,24.43,17.21,3.67,8.59,1.74,0.43,0.98,2.4,2.39,13.45,12.28,9.53,8.04
PRECTOTCORR,2012,1.58,4.95,1.81,5.05,0.1,0.6,1.48,0.71,2.83,15.23,9.2,20.59,5.36
PRECTOTCORR,2013,11.09,9.59,6.11,2.79,3.6,1.43,1.81,2.3,1.99,2.44,6.33,6.0,4.6
PRECTOTCORR,2014,5.67,1.93,0.5,2.86,4.7,0.26,0.4,2.82,3.5,8.35,14.29,26.7,6.04
PRECTOTCORR,2015,0.64,7.0,2.86,6.79,7.69,1.14,0.3,2.02,5.83,13.11,18.27,10.85,6.35
PRECTOTCORR,2016,4.1,1.38,1.9,2.47,12.94,0.56,0.82,0.17,0.05,3.36,10.5,2.68,3.42
PRECTOTCORR,2017,3.12,3.29,7.33,1.86,3.67,0.46,0.46,2.76,2.8,8.09,12.0,4.77,4.22
PRECTOTCORR,2018,1.66,4.69,3.12,4.46,9.59,0.97,0.36,0.6,1.74,9.68,10.22,3.86,4.24
PRECTOTCORR,2019,1.24,4.47,0.35,2.65,0.31,0.42,0.51,2.34,4.2,12.72,11.57,19.72,5.05
PRECTOTCORR,2020,1.93,1.03,0.62,2.87,5.98,3.15,2.6,0.79,3.77,1.26,12.85,15.61,4.38
PRECTOTCORR,2021,12.32,1.94,2.05,4.32,4.1,1.97,2.88,1.31,3.15,13.64,16.99,5.8,5.9
PRECTOTCORR,2022,6.46,7.08,1.69,8.78,1.97,0.99,3.0,3.79,2.0,11.86,8.84,10.8,5.6
PRECTOTCORR,2023,5.62,12.64,3.27,4.31,3.96,0.66,0.33,0.8,4.1,17.19,24.12,23.7,8.36
PRECTOTCORR,2024,11.64,0.81,1.38,1.7,7.29,1.04,0.42,4.4,0.92,6.41,19.97,6.31,5.21
PRECTOTCORR,2025,12.2,3.22,4.8,7.81,3.53,0.66,0.32,1.09,2.17,8.85,28.28,8.02,6.74
RH2M,2000,83.18,78.75,70.89,67.91,65.64,70.07,67.35,72.76,73.35,74.5,80.09,85.52,74.16
RH2M,2001,87.24,83.22,69.61,75.5,74.34,77.58,74.16,73.06,70.69,78.14,81.94,84.81,77.49
RH2M,2002,83.71,81.97,73.78,74.08,76.13,72.75,66.98,68.32,63.01,79.11,86.44,87.13,76.09
