-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  6.934   Longitude 79.8499 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,0.94,2.94,2.07,3.65,2.15,3.52,2.61,5.37,3.21,3.08,6.73,2.81,3.25
PRECTOTCORR,2001,3.73,2.25,0.46,6.9,4.32,4.21,3.01,0.69,4.96,3.36,4.27,2.77,3.4
PRECTOTCORR,2002,1.07,2.21,1.78,6.88,6.79,2.52,1.07,2.32,1.67,12.35,7.02,5.46,4.28
PRECTOTCORR,2003,1.9,2.51,3.9,4.65,5.73,3.85,2.85,1.81,3.01,4.36,9.99,0.82,3.77
PRECTOTCORR,2004,0.81,0.91,1.01,4.34,6.4,3.61,2.38,1.86,7.92,8.23,8.45,4.59,4.21
PRECTOTCORR,2005,2.73,1.21,3.58,5.05,6.06,4.15,3.46,1.08,2.92,9.84,15.17,4.21,4.97
PRECTOTCORR,2006,5.86,1.82,4.15,2.22,5.88,3.52,3.23,5.94,5.1,15.56,14.21,5.39,6.11
PRECTOTCORR,2007,3.15,0.7,1.01,9.75,3.35,5.04,3.28,4.49,5.54,10.21,5.52,5.45,4.81
PRECTOTCORR,2008,1.81,3.54,9.59,12.2,3.27,5.57,5.91,3.34,2.33,9.49,6.62,2.91,5.55
PRECTOTCORR,2009,1.21,0.2,6.81,7.25,6.0,5.68,2.98,5.01,4.97,5.2,13.48,5.67,5.39
PRECTOTCORR,2010,2.99,1.49,3.26,10.72,13.79,7.83,5.53,4.77,6.89,7.66,17.24,11.27,7.81
PRECTOTCORR,2011,6.69,6.9,4.48,13.11,5.68,3.69,3.56,4.17,4.52,8.87,9.03,4.18,6.22
PRECTOTCORR,2012,2.05,4.14,4.31,12.06,3.17,4.45,2.84,5.52,5.85,15.77,10.02,9.82,6.66
PRECTOTCORR,2013,4.45,5.47,6.01,6.59,9.06,9.95,5.4,2.41,6.3,7.42,7.12,2.75,6.07
PRECTOTCORR,2014,2.45,0.87,2.31,8.67,5.58,5.48,2.41,6.62,7.27,14.83,8.96,12.34,6.52
PRECTOTCORR,2015,0.88,3.98,4.27,9.79,5.77,4.82,2.61,3.68,8.99,13.16,14.2,8.19,6.69
PRECTOTCORR,2016,1.4,2.65,2.8,5.01,17.09,3.92,2.19,1.04,1.0,4.32,9.74,2.57,4.48
PRECTOTCORR,2017,1.75,2.11,7.2,2.84,9.14,3.18,1.45,3.25,5.83,8.73,9.58,5.18,5.04
PRECTOTCORR,2018,1.03,2.4,3.98,8.83,13.33,5.53,2.46,2.86,3.88,8.96,9.93,3.9,5.6
PRECTOTCORR,2019,0.86,4.27,1.53,6.94,2.54,3.88,2.93,7.93,11.1,16.42,11.5,8.27,6.51
PRECTOTCORR,2020,1.89,0.65,1.55,6.57,11.22,4.76,4.23,4.05,7.88,3.38,10.96,7.16,5.36
PRECTOTCORR,2021,7.14,1.25,5.74,6.13,14.1,7.53,6.06,5.49,6.3,12.69,15.19,3.06,7.6
PRECTOTCORR,2022,2.23,5.57,2.66,14.22,9.73,3.84,3.57,6.85,3.22,10.74,9.12,8.36,6.67
PRECTOTCORR,2023,2.92,3.4,4.62,7.32,8.04,5.33,3.41,2.59,13.6,17.98,16.81,11.24,8.11
PRECTOTCORR,2024,5.75,0.95,1.92,5.48,10.4,5.21,3.69,5.41,3.43,7.02,11.91,3.98,5.44
PRECTOTCORR,2025,5.23,1.76,8.28,10.06,8.52,4.34,2.39,2.64,5.96,16.8,20.9,4.62,7.64
RH2M,2000,78.49,76.66,72.34,79.85,79.84,85.47,81.9,84.65,84.88,83.2,79.92,79.74,80.58
RH2M,2001,80.14,74.25,68.53,79.25,85.02,85.84,86.97,85.3,82.42,85.96,83.55,79.29,81.42
RH2M,2002,72.19,69.73,67.88,79.81,85.48,87.1,83.72,85.5,77.95,85.86,86.01,84.93,80.58
RH2M,2003,83.09,78.01,76.54,77.46,85.93,86.1,86.15,85.8,83.06,82.43,83.68,79.41,82.34
RH2M,2004,71.19,65.53,69.34,77.97,83.57,84.11,84.48,82.12,84.87,86.22,86.07,84.28,80.02
RH2M,2005,82.81,77.05,75.55,82.73,84.31,86.43,87.83,83.44,84.43,86.7,88.08,84.76,83.71
RH2M,2006,84.18,81.86,81.69,81.7,84.32,85.49,87.71,86.51,86.68,85.71,86.62,84.49,84.77
