-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  9.6652   Longitude 80.0201 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,0.97,1.88,0.1,1.16,1.91,0.51,3.94,0.88,3.96,3.33,7.58,2.63,2.4
PRECTOTCORR,2001,1.61,2.31,0.01,5.32,1.05,2.13,1.52,0.5,1.48,4.85,8.72,7.05,3.04
PRECTOTCORR,2002,0.77,2.79,0.21,3.84,1.95,1.15,0.15,0.37,0.49,9.69,3.65,3.66,2.39
PRECTOTCORR,2003,1.72,1.51,0.59,2.64,4.03,0.46,0.96,1.63,1.52,4.67,11.1,0.83,2.63
PRECTOTCORR,2004,0.13,0.23,0.48,1.55,5.57,0.39,1.02,0.77,4.3,8.62,9.61,6.08,3.24
PRECTOTCORR,2005,2.48,0.1,1.49,6.42,1.91,0.31,0.53,1.03,0.96,6.17,15.93,3.51,3.4
PRECTOTCORR,2006,1.81,0.27,2.75,1.5,1.15,0.32,0.23,2.5,2.5,9.33,8.58,1.78,2.74
PRECTOTCORR,2007,0.78,1.21,0.12,1.97,0.43,1.46,0.71,1.72,2.38,9.32,4.58,7.52,2.7
PRECTOTCORR,2008,0.37,1.75,6.08,2.89,0.56,0.42,0.89,1.73,0.4,5.3,8.26,4.43,2.76
PRECTOTCORR,2009,0.57,0.0,2.7,2.16,0.71,0.24,0.31,1.88,0.77,3.0,13.19,9.56,2.94
PRECTOTCORR,2010,1.42,0.06,0.31,2.11,2.28,1.0,0.88,3.39,5.13,4.82,15.04,11.36,4.0
PRECTOTCORR,2011,4.08,2.4,0.21,6.12,0.48,0.23,0.49,1.52,0.95,8.11,14.19,6.94,3.8
PRECTOTCORR,2012,0.85,0.31,0.5,2.1,0.29,0.32,0.46,0.56,3.05,13.15,3.71,9.65,2.93
PRECTOTCORR,2013,3.55,4.6,3.67,1.29,2.21,0.43,0.4,1.77,3.59,3.04,5.86,4.77,2.92
PRECTOTCORR,2014,3.11,0.57,0.07,1.04,4.21,0.32,0.25,2.63,2.69,8.29,13.16,9.37,3.83
PRECTOTCORR,2015,0.09,1.84,1.33,4.52,6.4,0.89,0.37,1.71,3.29,7.48,17.78,8.83,4.54
PRECTOTCORR,2016,0.97,0.28,0.3,0.41,8.99,0.7,0.77,1.21,0.49,2.15,6.35,3.55,2.19
PRECTOTCORR,2017,3.32,0.67,2.69,0.44,1.63,0.74,0.67,2.8,2.62,3.96,9.55,2.88,2.67
PRECTOTCORR,2018,0.77,0.54,1.28,1.36,4.22,0.79,0.52,0.69,1.38,6.93,8.96,2.85,2.53
PRECTOTCORR,2019,0.04,1.22,0.07,0.97,0.18,0.51,1.36,2.53,5.35,14.0,8.11,7.7,3.52
PRECTOTCORR,2020,0.59,0.45,0.12,1.44,2.37,1.02,3.13,1.41,5.23,2.82,9.28,17.98,3.83
PRECTOTCORR,2021,9.76,0.74,0.57,2.34,2.65,1.49,1.78,1.85,3.15,10.75,20.9,4.02,5.01
PRECTOTCORR,2022,3.24,2.35,0.65,6.08,0.97,1.28,6.63,3.01,1.28,9.37,8.75,8.26,4.34
PRECTOTCORR,2023,1.43,4.58,1.15,1.6,5.76,0.72,0.73,1.04,2.48,5.69,14.72,12.01,4.32
PRECTOTCORR,2024,3.13,0.1,0.54,0.68,3.95,1.45,0.55,2.7,0.91,6.02,12.73,4.72,3.13
PRECTOTCORR,2025,3.44,1.94,1.78,2.49,3.66,0.94,0.36,1.36,2.52,11.16,18.54,4.58,4.4
RH2M,2000,78.67,75.84,71.28,73.31,74.33,76.49,73.65,79.91,80.75,78.77,76.55,78.62,76.52
RH2M,2001,80.13,76.34,71.27,74.67,78.89,79.51,78.17,79.99,78.66,79.83,80.56,80.14,78.19
RH2M,2002,79.31,77.98,74.74,73.74,79.67,79.01,75.48,76.32,73.63,80.21,83.4,81.32,77.91
RH2M,2003,78.01,77.35,73.73,69.74,79.75,79.23,78.23,79.68,77.78,79.26,82.26,78.26,77.78
RH2M,2004,75.67,72.4,70.83,72.11,79.96,78.9,78.4,76.58,80.71,81.68,83.67,79.42,77.54
RH2M,2005,78.34,75.75,74.76,78.77,80.06,80.11,80.74,76.57,79.59,79.57,84.79,81.99,79.27
RH2M,2006,80.27,77.12,75.12,72.84,78.94,76.92,77.11,78.19,80.89,80.1,84.19,75.3,78.08
RH2M,2007,75.37,73.86,69.14,74.77,76.62,78.13,79.17,79.82,79.41,80.06,78.17,80.72,77.12
RH2M,2008,77.87,76.01,80.83,78.64,80.83,77.43,77.03,78.61,75.95,76.05,77.75,78.95,78.01
RH2M,2009,74.37,70.19,72.49,75.6,79.35,77.44,76.15,77.8,78.46,72.35,81.4,82.99,76.58
RH2M,2010,78.72,76.13,70.96,73.65,77.67,76.73,73.61,77.46,79.18,81.73,82.77,84.11,77.74
