-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  7.2901   Longitude 80.633 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 296.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,0.83,2.33,0.83,2.9,1.75,1.9,4.05,3.19,3.07,2.32,8.57,3.68,2.94
PRECTOTCORR,2001,4.8,2.81,0.08,4.85,2.31,4.09,4.39,0.5,4.01,3.2,5.71,4.32,3.41
PRECTOTCORR,2002,1.95,2.97,1.53,4.71,3.91,2.09,0.71,2.49,0.88,7.93,5.4,7.89,3.55
PRECTOTCORR,2003,3.2,2.28,3.22,2.87,4.11,1.98,1.33,0.92,1.78,2.97,9.42,1.22,2.94
PRECTOTCORR,2004,1.74,1.75,1.56,3.17,4.49,2.46,1.24,0.84,5.48,7.71,8.07,9.84,4.03
PRECTOTCORR,2005,3.31,1.1,2.24,4.08,2.55,1.93,2.31,0.96,2.71,6.56,11.33,3.74,3.57
PRECTOTCORR,2006,6.33,2.23,3.84,1.98,3.52,1.67,2.43,3.77,3.01,11.38,12.36,6.47,4.94
PRECTOTCORR,2007,4.28,2.31,0.83,8.09,1.18,3.28,2.54,1.76,3.42,7.51,5.46,7.76,4.04
PRECTOTCORR,2008,3.82,3.92,10.52,7.18,0.84,2.54,2.9,1.6,1.2,6.02,5.72,3.66,4.16
PRECTOTCORR,2009,2.14,0.04,6.39,6.21,2.43,1.76,1.13,3.47,2.26,4.67,12.48,7.23,4.2
PRECTOTCORR,2010,3.23,1.61,2.83,7.87,5.7,3.78,3.88,4.28,5.74,6.31,16.69,14.37,6.37
PRECTOTCORR,2011,16.37,13.2,3.92,9.75,3.53,1.34,1.56,2.07,3.22,9.95,8.39,6.23,6.58
PRECTOTCORR,2012,1.65,4.68,2.41,7.51,0.56,1.79,2.08,1.98,2.55,13.16,9.29,15.36,5.25
PRECTOTCORR,2013,9.65,6.39,4.74,4.86,4.64,4.56,2.73,2.28,3.82,4.6,6.16,4.3,4.88
PRECTOTCORR,2014,3.74,1.25,1.15,6.3,5.14,1.67,0.99,3.41,4.76,12.42,10.61,22.37,6.19
PRECTOTCORR,2015,0.44,5.25,2.73,7.15,4.36,2.61,1.11,2.41,5.15,12.25,14.58,9.07,5.58
PRECTOTCORR,2016,2.59,1.81,2.4,2.79,13.45,1.79,1.4,0.32,0.21,2.38,7.83,2.31,3.28
PRECTOTCORR,2017,1.47,2.2,7.12,1.81,4.2,1.55,1.16,3.68,2.79,6.58,7.38,5.36,3.79
PRECTOTCORR,2018,1.17,2.78,3.04,5.02,10.95,2.75,1.25,1.8,2.83,6.34,9.47,4.11,4.3
PRECTOTCORR,2019,1.3,3.7,0.53,3.0,0.58,1.46,1.77,4.07,6.33,13.1,10.47,10.61,4.75
PRECTOTCORR,2020,1.65,0.81,0.86,3.85,7.16,3.42,3.2,2.71,5.43,2.26,9.34,10.32,4.26
PRECTOTCORR,2021,7.86,2.16,3.44,4.76,8.6,4.19,4.93,3.41,4.34,10.58,15.64,4.62,6.23
PRECTOTCORR,2022,3.73,7.96,2.14,9.72,4.24,1.42,3.63,6.12,2.67,7.6,9.44,9.36,5.65
PRECTOTCORR,2023,3.5,4.54,3.53,5.32,4.96,1.98,1.52,1.34,7.28,13.56,15.67,15.08,6.53
PRECTOTCORR,2024,9.53,0.92,1.08,2.84,6.58,2.03,1.62,4.52,1.48,4.0,12.08,4.71,4.3
PRECTOTCORR,2025,9.26,2.22,6.55,9.45,6.35,2.79,1.54,1.96,5.22,11.54,24.89,5.34,7.26
RH2M,2000,82.96,75.89,68.29,72.16,73.73,78.62,75.89,81.42,81.54,81.57,83.42,87.36,78.58
RH2M,2001,88.25,81.49,68.75,74.63,81.11,83.7,83.55,81.15,77.94,84.42,86.81,86.89,81.57
RH2M,2002,83.14,80.64,71.65,75.07,83.41,82.76,77.19,78.3,72.65,83.27,88.13,90.68,80.58
RH2M,2003,89.45,85.44,80.47,73.39,82.6,81.57,81.89,79.32,75.54,76.61,87.76,85.41,81.61
