-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  6.1427   Longitude 80.54 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 60.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,0.32,2.12,2.06,3.25,0.9,3.1,2.46,5.31,2.66,1.43,5.44,1.69,2.55
PRECTOTCORR,2001,6.25,1.25,0.59,3.91,2.08,1.57,1.74,0.45,3.33,1.78,4.69,1.86,2.46
PRECTOTCORR,2002,0.86,1.9,0.74,3.15,5.75,1.71,1.4,2.16,1.36,7.16,7.05,5.6,3.25
PRECTOTCORR,2003,1.35,1.42,2.33,5.18,6.85,2.87,1.66,1.63,2.28,2.74,8.85,0.51,3.14
PRECTOTCORR,2004,0.97,2.34,0.77,3.9,4.92,1.97,1.78,1.8,6.95,7.51,6.56,6.0,3.79
PRECTOTCORR,2005,2.23,1.0,3.87,3.08,3.62,2.68,3.44,0.73,2.24,6.87,8.25,3.65,3.49
PRECTOTCORR,2006,5.43,2.07,2.56,1.73,3.74,2.29,3.2,4.3,6.17,10.56,8.98,8.87,5.02
PRECTOTCORR,2007,6.24,0.64,0.53,9.38,1.69,4.48,2.09,5.25,4.89,9.76,4.95,5.76,4.66
PRECTOTCORR,2008,2.4,2.13,7.09,8.67,1.76,4.13,4.42,2.37,1.72,5.7,6.83,4.05,4.27
PRECTOTCORR,2009,0.75,0.1,4.04,4.33,6.25,5.27,2.39,4.71,4.68,4.38,14.1,4.86,4.67
PRECTOTCORR,2010,3.41,2.06,3.77,8.75,11.88,5.22,4.41,4.11,5.37,5.11,16.16,12.01,6.87
PRECTOTCORR,2011,11.4,7.63,7.93,9.59,5.03,2.55,2.94,5.25,3.97,6.93,10.33,4.62,6.5
PRECTOTCORR,2012,1.91,4.49,4.03,10.52,2.07,3.16,2.45,6.63,7.59,12.38,12.43,9.25,6.4
PRECTOTCORR,2013,5.28,6.33,5.93,6.61,6.85,6.64,5.32,1.63,5.8,5.43,6.84,3.25,5.47
PRECTOTCORR,2014,1.88,0.9,2.87,4.59,4.94,4.27,1.62,7.07,6.08,13.47,9.77,13.13,5.92
PRECTOTCORR,2015,1.34,5.1,4.4,10.25,4.92,4.79,3.33,5.34,12.06,11.3,13.18,8.31,7.01
PRECTOTCORR,2016,2.01,4.27,3.05,4.4,16.07,2.75,2.55,1.2,0.93,5.56,9.93,3.65,4.7
PRECTOTCORR,2017,2.43,3.25,5.22,5.44,10.64,2.55,1.47,4.09,4.95,7.11,12.85,8.72,5.74
PRECTOTCORR,2018,1.34,3.04,5.62,7.91,13.01,4.76,2.86,2.89,4.44,7.55,7.83,3.67,5.42
PRECTOTCORR,2019,1.59,4.82,2.42,4.51,3.04,2.76,3.16,8.4,13.79,14.03,11.09,10.05,6.64
PRECTOTCORR,2020,1.83,1.19,1.45,5.15,10.07,4.01,5.04,4.35,9.07,3.95,9.6,6.92,5.22
PRECTOTCORR,2021,6.81,1.83,7.1,4.91,9.04,5.42,5.91,6.27,6.39,10.47,12.88,5.87,6.94
PRECTOTCORR,2022,4.07,4.96,3.62,9.62,8.65,4.18,4.93,5.64,2.71,10.51,9.89,6.17,6.25
PRECTOTCORR,2023,3.73,7.46,5.61,6.57,7.26,4.89,3.13,3.56,17.41,22.68,14.35,14.25,9.24
PRECTOTCORR,2024,10.31,1.21,1.56,4.27,6.93,3.55,3.53,4.87,3.08,5.25,10.22,4.91,4.99
PRECTOTCORR,2025,8.0,4.92,12.86,10.82,6.63,3.42,2.46,2.14,5.99,10.01,23.44,8.11,8.23
